Initial,Surname,13 N,13 K,13 L,14 N,14 K,14 L,15 N,15 K,15 L,16 N,16 K,16 L,17 N,17 K,17 L,18 N,18 K,18 L,19 N,19 K,19 L,20 N,20 K,21 K,21 L,22 N,22 K,22 L,23 N,23 K,23 L,24 N,24 K,24 L,25 N,25 K,25 L,RPA,POSS,Played,MissedLast,PC,PC2,RANK,RANK2,RANK3
,174,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,L16,P,P,P,P,P,P,P,P,P,P,1.1,12.450000000000001,2,10,8.835341365461847,0.008835341365461847,78.0,82.0,83
,192,,,,,,,,,,,,NQ,,,,,,,,,QF,P,P,L16,NQ,P,P,P,P,P,P,P,P,P,P,P,P,1.1,12.8,3,12,8.59375,0.00859375,80.0,84.0,84
,235,F,F,F,,SF,,,,,,,,,QF,SF,,SF,P,P,SF,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.96,12.0,1,17,8.0,0.008,81.0,85.0,85
,236,F,F,F,,SF,,,,,,QF,,,QF,SF,,SF,P,P,SF,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.96,12.0,1,17,8.0,0.008,81.0,85.0,86
,138,,,,,,,,,NQ,,,NQ,NQ,,,,,,NQ,L16,P,P,P,L16,P,P,P,P,NQ,NQ,P,P,P,P,P,P,P,1.0,13.899999999999999,5,7,7.194244604316548,0.007194244604316548,84.0,87.0,87
,198,,,,,,,,,,,,,,,,,,,,,,NQ,P,L16,P,P,P,P,P,P,P,P,P,P,P,P,P,0.8,12.05,2,13,6.639004149377594,0.006639004149377594,85.0,88.0,88
,209,,,QF,,QF,SF,,SF,NQ,QF,L16,,,L16,SF,,QF,QF,QF,P,P,P,L16,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.8,12.15,2,14,6.584362139917696,0.006584362139917695,86.0,89.0,89
,112,,,,,,,,,,,,,,,,,,,,,,NQ,P,L16,P,P,P,P,P,P,P,NQ,P,P,P,P,P,0.8,12.899999999999999,3,5,6.2015503875969005,0.006201550387596901,87.0,90.0,90
,207,,,,,,,,,,,,,,L16,,,L16,QF,P,L16,P,P,L16,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.7,11.95,2,14,5.857740585774058,0.005857740585774058,88.0,91.0,91
,234,,,,,,,,,,,QF,,,,,,L16,P,P,QF,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.5599999999999999,11.600000000000001,1,17,4.827586206896551,0.004827586206896551,90.0,92.0,92
,208,NQ,L16,,NQ,,NQ,,L16,,,NQ,,NQ,,,,L16,P,P,P,P,P,L16,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.5,11.65,1,14,4.291845493562231,0.004291845493562232,91.0,93.0,93
,244,,,,,,,,,,,,,NQ,,NQ,QF,P,P,QF,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.30000000000000004,11.4,1,18,2.6315789473684212,0.0026315789473684214,94.0,94.0,94
,232,,,,,,,,,,,,,,,,,,,,L16,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.2,11.100000000000001,1,17,1.8018018018018018,0.0018018018018018018,95.0,95.0,95
